classement scratch;dossard;nom prenom;club;sexe;categorie;pays;classement par categorie;classement par sexe;temps;nb de point;
24;3096;GROSS SANDY;BESANÇON TRAIL RUNNING [BTR];F;Elite;FRA;2;3;03:02:51;0;
25;3591;FLEURY LILIAN;YORC3NTER;H;Elite;SUI;18;22;03:03:49;0;
26;3568;BOURGON PAUL;;H;Elite;FRA;19;23;03:03:50;0;
27;3192;DUCROCQ FÉLIX;;H;Elite;FRA;20;24;03:04:05;0;
28;3426;SANDOZ PIERRE-OLIVIER;;H;Elite;SUI;21;25;03:04:22;0;
29;3749;HERTZEISEN FABRICE;;H;Senior 2;SUI;1;26;03:05:10;0;
30;3576;CLERC JEAN-LUC;;H;Senior 1;SUI;5;27;03:06:26;0;
31;3391;PILATTE NICOLAS;BTV AARAU ATHLETICS;H;Elite;BEL;22;28;03:07:35;0;
32;3346;KOLLER JOEL;;H;Elite;SUI;23;29;03:08:15;0;
33;3691;RACINE SÉBASTIEN;;H;Elite;SUI;24;30;03:08:31;0;
34;3574;ANAND JESS;;F;Elite;GBR;3;4;03:09:10;0;
35;3321;GRIFFITHS SANCHEZ NICOLAS;;H;Elite;ESP;25;31;03:09:19;0;
36;3221;MÉAN BAPTISTE;;H;Elite;SUI;26;32;03:09:42;0;
37;3232;BEURIER MATHIEU;;H;Elite;FRA;27;33;03:10:36;0;
38;3560;ARMINGAUD GUILHEM;AOC CHARENTON;H;Elite;FRA;28;34;03:10:54;0;
39;3483;MICHEL MARIO;;H;Elite;SUI;29;35;03:11:21;0;
40;3655;NEUMAIR MICHA;TRAILMANIACS;H;Elite;SUI;30;36;03:11:30;0;
41;3257;LASSALLE LOAN;;H;Elite;FRA;31;37;03:11:37;0;
42;3520;GROGNUZ VINCENT;-;H;Elite;SUI;32;38;03:12:12;0;
43;3643;BUTHEY STÉPHANE;;H;Senior 1;SUI;6;39;03:13:18;0;
44;3216;KOCH ROBIN;;H;Elite;SUI;33;40;03:13:50;0;
45;3038;L'ALLEMAIN JEAN-MARIE;;H;Elite;SUI;34;41;03:13:53;0;
46;3646;BACHMANN CLAUDIA;EXDURANCE;F;Elite;SUI;4;5;03:13:55;0;
47;3118;KOLMER HENRI;ASPTT MULHOUSE ATHLETISME;H;Junior;FRA;1;42;03:14:41;0;
48;3178;GUIGNARD ROMAIN;;H;Elite;SUI;35;43;03:15:26;0;
49;3358;GIRARDIN CÉLIEN;;H;Elite;SUI;36;44;03:15:50;0;
50;3536;MERCIER ALIX;;H;Elite;SUI;37;45;03:16:14;0;
51;3144;RAVIER STÉPHANE;SQUADRA SENZA PAROLE;H;Senior 2;SUI;2;46;03:16:19;0;
52;3149;WYSSMULLER LIONEL;;H;Elite;SUI;38;47;03:16:54;0;
53;3633;KRAMAK JOHN ERIC;;H;Senior 1;USA;7;48;03:17:11;0;
54;3669;BLANC THÉO;;H;Elite;SUI;39;49;03:17:20;0;
55;3453;KOCHER JONATHAN;;H;Elite;SUI;40;50;03:17:27;0;
56;3538;GONZALEZ DIAZ FERNANDO;ARISTA;H;Senior 2;ESP;3;51;03:18:25;0;
57;3116;FLASCH NINA;;F;Elite;AUT;5;6;03:18:38;0;
58;3209;WALDER SACHA;;H;Elite;SUI;41;52;03:18:46;0;
59;3481;TEJADA RAPHAËL;THD;H;Elite;FRA;42;53;03:19:09;0;
60;3173;GACHET JONATHAN;;H;Elite;SUI;43;54;03:19:11;0;
61;3060;GREMAUD LISA;D-TEAM SCOTT;F;Elite;SUI;6;7;03:19:25;0;
